trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,2,-79.38924127776588,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",35,0,-125.90985168455396,"{0: 25, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",20,14,-32.11803356541312,"{0: 4, 1: 0, 2: 0, 3: 2, 4: 0}",1
4,False,"{'a': 0.5, 'e': -0.4161468365471424}",20,12,-38.71524654595828,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': -0.8011436155469337}",20,15,-12.460548033160382,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': -0.9899924966004454}",30,8,-23.620792321538193,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 0}",1
7,False,"{'a': 0.5, 'e': -0.9364566872907963}",25,0,-57.67878456957388,"{0: 21, 1: 0, 2: 0, 3: 4, 4: 0}",0
8,False,"{'a': 0.5, 'e': -0.6536436208636119}",20,0,32.52097978018211,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': -0.2107957994307797}",20,0,-239.19073184923678,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.28366218546322625}",25,14,16.66435110084862,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.70866977429126}",25,0,-167.71135886082578,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.960170286650366}",25,0,-156.41790116774717,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",30,0,-126.39997709777238,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",30,0,-221.62727098758728,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",30,0,-138.1641026641631,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
